network,domain,macrosheds_prodcode,doi,data_status,license,license_type,license_sharealike,IR_acknowledgement_text,IR_acknowledge_domain,IR_acknowledge_funding_sources,IR_acknowledge_grant_numbers,IR_notify_of_intentions,IR_notify_on_distribution,IR_provide_online_access,IR_provide_two_reprints,IR_collaboration_consultation,IR_questions,IR_needs_clarification,contact,contact_name1,creator_name1,funding,citation,link,link_download_datetime
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/OCQHGshVZuGbC5XiRvnPrBKR,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Degerö, Catchment 18, 2011-01-18–2023-12-13. Svartberget Research Station. https://hdl.handle.net/11676.1/OCQHGshVZuGbC5XiRvnPrBKR",https://hdl.handle.net/11676.1/OCQHGshVZuGbC5XiRvnPrBKR,2024-04-24 15:06:23 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/icnzDUzPiQ_FyDFu3WhpKrE1,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Krycklan, Catchment 16, 2011-01-18–2023-12-12. Svartberget Research Station. https://hdl.handle.net/11676.1/icnzDUzPiQ_FyDFu3WhpKrE1",https://hdl.handle.net/11676.1/icnzDUzPiQ_FyDFu3WhpKrE1,2024-04-24 15:06:46 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/j756PuGhIKJhSZ-IDm4hz7zq,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Övre Krycklan, Catchment 15, 2011-01-18–2019-06-18. Svartberget Research Station. https://hdl.handle.net/11676.1/j756PuGhIKJhSZ-IDm4hz7zq",https://hdl.handle.net/11676.1/j756PuGhIKJhSZ-IDm4hz7zq,2024-04-24 15:07:08 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/reb8SO7vKNtIo6VjLwpTsNO_,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Åhedbäcken, Catchment 14, 2011-01-18–2019-06-18. Svartberget Research Station. https://hdl.handle.net/11676.1/reb8SO7vKNtIo6VjLwpTsNO_",https://hdl.handle.net/11676.1/reb8SO7vKNtIo6VjLwpTsNO_,2024-04-24 15:07:30 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/6pIT5tWx85uhFXQ5jpRaPop5,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Långbäcken, Catchment 13, 2011-01-18–2023-12-12. Svartberget Research Station. https://hdl.handle.net/11676.1/6pIT5tWx85uhFXQ5jpRaPop5",https://hdl.handle.net/11676.1/6pIT5tWx85uhFXQ5jpRaPop5,2024-04-24 15:07:53 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/TdaJTwilNaZWzu44y5iJszYZ,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Nymyrbäcken, Catchment 12, 2011-01-18–2019-06-18. Svartberget Research Station. https://hdl.handle.net/11676.1/TdaJTwilNaZWzu44y5iJszYZ",https://hdl.handle.net/11676.1/TdaJTwilNaZWzu44y5iJszYZ,2024-04-24 15:08:15 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/Da-YfC9AZJkRu82_Iw1w8IjT,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Stormyrbäcken, Catchment 10, 2011-01-18–2023-12-12. Svartberget Research Station. https://hdl.handle.net/11676.1/Da-YfC9AZJkRu82_Iw1w8IjT",https://hdl.handle.net/11676.1/Da-YfC9AZJkRu82_Iw1w8IjT,2024-04-24 15:08:39 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/gauBg7U_x7Gq5e1sTUqMdgt3,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Nyängesbäcken, Catchment 9, 2011-01-18–2023-03-14. Svartberget Research Station. https://hdl.handle.net/11676.1/gauBg7U_x7Gq5e1sTUqMdgt3",https://hdl.handle.net/11676.1/gauBg7U_x7Gq5e1sTUqMdgt3,2024-04-24 15:09:02 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/fZAX2IayhSf0ZtWvF2b56huT,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Kallkälsbäcken, Catchment 7, 2011-01-18–2023-12-12. Svartberget Research Station. https://hdl.handle.net/11676.1/fZAX2IayhSf0ZtWvF2b56huT",https://hdl.handle.net/11676.1/fZAX2IayhSf0ZtWvF2b56huT,2024-04-24 15:09:25 UTC
krycklan,krycklan,VERSIONLESS003,https://hdl.handle.net/11676.1/VatrIhlel5jWraBLBU1mlwpn,,https://creativecommons.org/licenses/by/4.0/,Attribution,,This dataset has been made possible by data provided by the Swedish Infrastructure for Ecosystem Science (SITES).,,,,,s,,,s,,,kim.lindgren@slu.se,Kim Lindgren,Svartberget Research Station,"Supported by Swedish Infrastructure for Ecosystem Science, the ForWater Project, Environmental Climate Data Sweden, and INTERACT","Svartberget Research Station. (2024). Chemical variables - stream from Stortjärnbäcken, Catchment 6, 2011-01-18–2023-12-12. Svartberget Research Station. https://hdl.handle.net/11676.1/VatrIhlel5jWraBLBU1mlwpn",https://hdl.handle.net/11676.1/VatrIhlel5jWraBLBU1mlwpn,2024-04-24 15:09:47 UTC
