"attributeName"	"attributeDefinition"	"class"	"unit"	"dateTimeFormatString"	"missingValueCode"	"missingValueCodeExplanation"
"domain"	"Short name for the data domain associated with a MacroSheds site. A domain includes one or more sites under common management."	"character"				
"prodcode"	"One or more MacroSheds product codes, separated by |. These codes are mostly for internal use, but they may be relevant for distinguishing primary data sources here, e.g. if a detection limit differs between stream and precip chemistry within the same domain."	"character"				
"site_code"	"Short name for MacroSheds site. See sites.csv. If 'all', this detection limit pertains to all sites at the specified domain, and for the specified product"	"character"				
"variable_converted"	"The MacroSheds variable code after it has been converted (only relevant for molecule-to-atomic-constituent conversions, e.g. NO3 to NO3-N)"	"character"				
"variable_original"	"The MacroSheds variable code before any molecule-to-atomic-constituent conversions have taken place (e.g. NO3 to NO3-N)"	"character"				
"detection_limit_converted"	"The detection limit after conversion to MacroSheds standard units (see variables_time_series.csv)"	"numeric"	"variable_unit"			
"detection_limit_original"	"The detection limit before conversion to MacroSheds standard units (see variables_time_series.csv)"	"numeric"	"variable_unit"			
"unit_converted"	"The units of the detection limit after conversion to MacroSheds standard units (see variables_time_series.csv)"	"character"				
"unit_original"	"The units of the detection limit before conversion to MacroSheds standard units (see variables_time_series.csv)"	"character"				
"start_date"	"The first known date on which the detection limit is applicable"	"Date"		"Y-M-D"		
"end_date"	"The last known date on which the detection limit is applicable"	"Date"		"Y-M-D"		
