prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,hydroshare_id,component
2407,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,christina river basin,3d25b6d404b3454eb62ce588eceeacd6,!!SEARCH(CONTAINS(.csv)__|EXCLUDE(HEADER))
1000,stream_chemistry,ready,pending,NA,stream_chemistry__ms001,suspended sediment,b92ad2ea2d434d54a7e82e7379b02dcf,!!SEARCH(CONTAINS(CRB_SUSPENDED_SEDIMENT))
2400,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,pheophytin,d841f99381424ebc850842a1dbb5630b,!!SEARCH(EXCLUDE(_1.csv)__|CONTAINS(WCC_CHLA))
2465,stream_chemistry,ready,ready,NA,stream_chemistry__ms001,temperature,e9f2ce8da1264a2eb70f643267028955,!!SEARCH(CONTAINS(.txt))
1001,discharge,ready,ready,NA,stream_inst_flux__ms002,white clay creek,0886014659d443d4a2b9b189c96bab68,!!SEARCH(CONTAINS(CRB_WCC))
2565,precipitation,ready,ready,NA,precip_pchem_pflux__ms004,stroud water research center,54dbaa2fb67646b7b62a5aa47b2bdd7d,!!SEARCH(CONTAINS(HOURLY_PRECIP))
ms001,stream_chemistry,NA,NA,ready,stream_inst_flux__ms002,NA,NA,NA
ms002,stream_flux_inst,NA,NA,ready,NA,NA,NA,NA
ms003,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms004,NA,NA,NA
ms004,precip_pchem_pflux,NA,NA,ready,NA,NA,NA,NA
ms000,ws_boundary,NA,NA,NA,precip_pchem_pflux__ms004,automated entry,NA,NA
ms005,discharge,NA,NA,linked,NA,automated entry,NA,NA
ms900,precipitation,NA,NA,NA,NA,automated entry,NA,NA
